#Digilent WaveForms Logger
#Device Name: Discovery2
#Serial Number: SN:210321ABEB31
#Date Time: 2019-09-08 21:47:03.736

Time (s),C1 DC (V),C1 True RMS (V),C1 AC RMS (V),C2 DC (V),C2 True RMS (V),C2 AC RMS (V)
1391,0.4150687353598234,0.6236740214590502,0.05694656268372237,1.478982576836999,2.20898277097441,0.0009261170052197575
1392,0.415136596596589,0.6237392251646646,0.05692055320759547,1.478715176599458,2.208715368549635,0.0009208296223304903
1393,0.414720890344883,0.6233358938077022,0.05703694240184332,1.477616813270705,2.20761752327588,0.001770547956714684
1394,0.4148700951833342,0.623480384939448,0.05699223904471398,1.476086115440154,2.206086645888197,0.001529846270433195
1395,0.4146669608851988,0.6232793271381281,0.05700564273241173,1.475289757085628,2.205290007576404,0.001051100018836767
1396,0.4144903419047435,0.6231093666339332,0.05707029341021683,1.474697431853393,2.204697838789902,0.00133953174053211
1397,0.4141699110317905,0.6227884654062968,0.05705045218052331,1.472840460791483,2.202841152234836,0.001745359474263118
1398,0.4147110032772754,0.6233231899806168,0.05700569776943062,1.471906132902374,2.201906409287534,0.001103244437453168
1399,0.4147784151018772,0.6233904992661931,0.05700766544075755,1.471516941968284,2.20151702388391,0.0006005638199422975
1400,0.415037276508347,0.6236416604666172,0.0569352426595106,1.471064833331353,2.201065212900955,0.001292638684811548
1401,0.4148377375075268,0.6234498371007891,0.05701055224765086,1.469955234698384,2.199955994948368,0.001828942973334398
1402,0.4147806621626984,0.6233956468971211,0.05703947804084757,1.468187247245333,2.198187491930203,0.001037172783764856
1403,0.4149460458390538,0.6235541954075908,0.05697229824484969,1.467786371594992,2.197786530201054,0.0008349642612921538
1404,0.4147402150679359,0.6233546318782178,0.0570314166183048,1.466764857746095,2.196765517554196,0.001702611906970425
1405,0.4145339348846546,0.6231550880753721,0.05709552916685823,1.464555996959614,2.194556253114503,0.001060325882397431
1406,0.4144809042492981,0.6231026048490983,0.05709906857170323,1.463593805516432,2.193594262116435,0.001415340328813286
1407,0.4145829208105309,0.6232023805285235,0.05707929129502758,1.462304891430194,2.192305662840109,0.001839111372481277
1408,0.4148768363657969,0.6234889126436809,0.05701208866590186,1.460878457221741,2.19087871960961,0.001072249486229767
1409,0.4154947780913104,0.6240934800048292,0.05689387128513122,1.460407473273906,2.190407595620058,0.000732103174510832
1410,0.4155091592805604,0.6241074910347676,0.05689046753297458,1.459954465812591,2.18995488204045,0.001350199817613716
1411,0.4150664882990087,0.6236718367867642,0.05694714315008452,1.457874586317737,2.187875208801443,0.001650403929580273
1412,0.4149972788257473,0.6236042660153058,0.05696191959147768,1.457094406801073,2.187094614128467,0.000952307556849072
1413,0.4153132155770458,0.6239114087553,0.05687999757708474,1.456410401487427,2.186410745122433,0.001225828254198386
1414,0.4146274126147655,0.6232429370052556,0.05703834883728164,1.454465795053455,2.184466500251694,0.001755267219755478
1415,0.414735271534128,0.6233485920672976,0.05701920646399718,1.453833022726507,2.183833489403038,0.001427685896709762
1416,0.414854815169757,0.6234686314568487,0.05703010513097814,1.453125647980239,2.183125723102395,0.0005727140474106112
1417,0.4149793023391801,0.6235870995543271,0.05696996398944785,1.452989925506706,2.182990121909197,0.0009260067572000321
1418,0.4147990880614193,0.6234120423292419,0.05701812679556904,1.451106888539619,2.181107652999951,0.001826127033535664
1419,0.4148152668993231,0.6234284545808707,0.05702142023714383,1.449634614290395,2.179634734499968,0.0007238968423722379
1420,0.4150741283058011,0.6236786932098093,0.05693891036132152,1.449454400012602,2.179454449301285,0.0004635143463865896
1421,0.4152156931374537,0.6238170988418218,0.05691076705874707,1.448324128419983,2.17832480790302,0.001720543230313679
1422,0.4154269168545403,0.6240243149903251,0.05687646884114448,1.446902637745018,2.176903285259323,0.001679032654532543
1423,0.4152592861173662,0.623859967787302,0.0569048224718274,1.446195712410925,2.176196019206993,0.00115554975408399
