field_1,id,message_ti,volts,d/m/y,hdop,latitude,longitude,siv,h/m/s/cs
"117",eui-70b3d57ed0044a2b,2021/09/11 20:04:37.807,4.017500000000000,"110921",1.100000000000000,47.764541600000001,8.995940200000000,"5",200435.220000000030268
"137",eui-70b3d57ed004476c,2021/09/11 19:02:05.807,4.032200000000000,"110921",1.200000000000000,47.764621699999999,8.996000199999999,"6",190204.000000000000000
"139",eui-70b3d57ed004476f,2021/09/11 18:52:12.160,3.841600000000000,"110921",1.700000000000000,47.764423299999997,8.996013599999999,"9",185209.510000000009313
"144",eui-70b3d57ed0044a2d,2021/09/11 18:38:14.687,3.983300000000000,"110921",1.100000000000000,47.764858199999999,8.995121899999999,"6",183812.059999999997672
"147",eui-70b3d57ed0044a2e,2021/09/11 18:33:15.814,4.144600000000000,"110921",1.000000000000000,47.764434799999997,8.995371799999999,"5",183313.109999999986030
"150",eui-70b3d57ed004476e,2021/09/11 18:30:06.652,4.134800000000001,"110921",1.600000000000000,47.764270699999997,8.995050400000000,"7",183004.000000000000000
"154",eui-70b3d57ed0044a2c,2021/09/11 18:18:28.097,4.017500000000000,"110921",1.000000000000000,47.764030400000003,8.994939799999999,"7",181825.660000000003492
"158",eui-70b3d57ed004476d,2021/09/11 18:05:18.473,4.061500000000000,"110921",1.000000000000000,47.764266900000003,8.995281200000003,"8",180515.619999999995343
"159",eui-70b3d57ed0044a2b,2021/09/11 18:04:32.192,4.017500000000000,"110921",1.100000000000000,47.764541600000001,8.995940200000000,"6",180430.000000000000000
"179",eui-70b3d57ed004476c,2021/09/11 17:01:33.759,4.051800000000000,"110921",1.100000000000000,47.764236400000001,8.995751300000000,"6",170131.220000000030268
"181",eui-70b3d57ed004476f,2021/09/11 16:52:06.868,3.836700000000000,"110921",1.700000000000000,47.764423299999997,8.996013599999999,"6",165204.700000000011642
"186",eui-70b3d57ed0044a2d,2021/09/11 16:38:04.519,3.973600000000000,"110921",1.100000000000000,47.764858199999999,8.995121899999999,"8",163801.130000000004657
"190",eui-70b3d57ed004476e,2021/09/11 16:29:35.552,4.144600000000000,"110921",7.400000000000000,47.765506700000003,8.995070399999999,"6",162933.190000000002328
"194",eui-70b3d57ed0044a2c,2021/09/11 16:18:22.609,4.022400000000000,"110921",1.000000000000000,47.764030400000003,8.994939799999999,"6",161820.809999999997672
"198",eui-70b3d57ed004476d,2021/09/11 16:05:07.300,4.061500000000000,"110921",6.400000000000000,47.764434799999997,8.995222999999999,"7",160504.649999999994179
"199",eui-70b3d57ed0044a2b,2021/09/11 16:04:16.214,4.027300000000001,"110921",1.100000000000000,47.764541600000001,8.995940200000000,"5",160414.200000000011642
"206",eui-70b3d57ed0044a2f,2021/09/11 15:42:20.642,5.000000000000000,"110921",0.700000000000000,47.762802100000002,9.000108700000000,"7",154218.260000000009313
"219",eui-70b3d57ed004476c,2021/09/11 15:01:27.909,4.042000000000000,"110921",1.100000000000000,47.764236400000001,8.995751300000000,"7",150126.000000000000000
"221",eui-70b3d57ed004476f,2021/09/11 14:51:46.187,3.836700000000000,"110921",1.700000000000000,47.764423299999997,8.996013599999999,"6",145144.000000000000000
"229",eui-70b3d57ed0044a2e,2021/09/11 14:32:44.729,4.159300000000000,"110921",1.200000000000000,47.764099100000003,8.995592100000000,"6",143242.279999999998836
"232",eui-70b3d57ed004476e,2021/09/11 14:29:09.529,4.134800000000001,"110921",7.400000000000000,47.765506700000003,8.995070399999999,"6",142907.329999999987194
"235",eui-70b3d57ed0044a2c,2021/09/11 14:18:06.701,3.993100000000000,"110921",1.000000000000000,47.764030400000003,8.994939799999999,"8",141804.000000000000000
"239",eui-70b3d57ed004476d,2021/09/11 14:05:02.033,4.032200000000000,"110921",6.400000000000000,47.764434799999997,8.995222999999999,"7",140500.000000000000000
"240",eui-70b3d57ed0044a2b,2021/09/11 14:04:00.424,4.007800000000000,"110921",1.100000000000000,47.764541600000001,8.995940200000000,"5",140358.190000000002328
"261",eui-70b3d57ed004476c,2021/09/11 13:00:50.868,4.037100000000000,"110921",1.500000000000000,47.765689799999997,8.993508300000000,"6",130048.100000000005821
"263",eui-70b3d57ed004476f,2021/09/11 12:50:54.379,3.846500000000000,"110921",1.700000000000000,47.764423299999997,8.996013599999999,"6",125051.929999999993015
"268",eui-70b3d57ed0044a2d,2021/09/11 12:37:12.548,3.998000000000000,"110921",1.200000000000000,47.763908299999997,8.995592100000000,"7",123710.119999999995343
